Fonction,Individu,Motif,Lieu,Departement/region,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,nc,Bucarest,nc,Roumanie,17/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,4ème conseil des ministres franco-allemand,Berlin,nc,Allemagne,26/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,Cérémonie de signature du traité établissant une constitution pour l'Europe,Rome,nc,Italie,29/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,Sommet du PPE à Bruxelles,Bruxelles,nc,Belgique,04/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Ajaccio,Corse ,France,05/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Jouy-en-Josas,Yvelines ,France,09/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,Congrès du Parti radical (PR),Saint-Étienne,Loire,France,14/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Mexico,nc,Mexique,17/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,60ème anniversaire de la libération,Strasbourg,Bas-Rhin,France,21/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite de l'unité de consultations médico-judiciaire (UCMJ) du centre hospitalier intercommunal,Créteil,Val-de-Marne ,France,24/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Chaumont,Haute-Marne ,France,26/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,Congrès de l'UMP,Le Bourget,Seine-Saint-Denis ,France,28/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Lens,Pas-de-Calais ,France,29/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Londres,nc,Royaume-Uni,30/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Échiré,Deux-Sevres ,France,04/12/2004,2004
Premier ministre,Jean-Pierre Raffarin,Séminaire intergouvernemental franco-portugais,Angoulême,Charente ,France,13/12/2004,2004
Premier ministre,Jean-Pierre Raffarin,Déplacement privé,Châtel-Guyon,Puy-de-Dome ,France,23/12/2004,2004
